offer_ref_no,grade,Campus_Offer,Work_Experience,Days_to_Accept_Offer,Offer_Revised,Status,Offer_to_startdate,Group,Candidate_Source,Gender,Joining_Bonus,Relocation,Offer_above_Budget,Reason_to_hire,Start_date_extension,No_Previous_employers,Start_Location
1173,E7,N,18,10,N,Joined,48,B,Direct,M,N,N,N,Backfill,Y,3,Pune
1215,E6,N,14,15,Y,Offer_Decline,35,E,Employee_Referral,M,Y,N,N,Incremental,Y,5,Bangalore
1316,E6,N,18,14,N,Joined,35,E,Direct,F,Y,Y,N,Incremental,Y,2,Mumbai
1428,E6,N,14,15,N,Joined,35,E,Sourcing_portal,M,Y,Y,N,Incremental,Y,2,New Delhi
1562,E6,N,9,7,Y,Offer_Decline,35,B,Direct,M,N,Y,N,Incremental,Y,5,Pune
1711,E6,N,12,1,Y,Joined,35,U,Employee_Referral,M,N,N,N,Incremental,N,5,Pune
1780,E6,N,9,13,N,Joined,35,B,Direct,F,N,N,Y,Incremental,Y,4,Pune
1793,E6,N,10,13,N,Joined,35,B,Sourcing_portal,F,N,N,N,Incremental,N,2,Pune
2083,E7,N,19,7,N,Joined,35,E,Direct,F,Y,Y,N,Incremental,Y,5,Pune
2177,E6,N,9,9,Y,Offer_Decline,35,E,Employee_Referral,M,Y,Y,Y,Incremental,Y,2,Pune
2360,E6,N,17,6,N,Offer_Decline,35,P,Direct,M,N,Y,Y,Incremental,N,5,Pune
2401,E6,N,18,5,N,Joined,35,E,Sourcing_portal,M,Y,N,Y,Incremental,N,3,Pune
2648,E8,N,12,1,N,Joined,75,E,Direct,M,Y,N,N,Incremental,N,2,Pune
2715,E6,N,14,8,N,Joined,35,B,Employee_Referral,M,N,N,N,Incremental,N,3,Pune
2761,E6,N,17,10,N,Joined,35,E,Direct,F,Y,Y,N,Incremental,N,4,Bangalore
3001,E3,N,3,15,N,Joined,30,E,Sourcing_portal,F,Y,Y,N,Incremental,N,1,Mumbai
3008,E2,N,3,1,N,Offer_Decline,30,E,Direct,F,Y,Y,N,Incremental,N,1,New Delhi
3009,E2,N,2,12,N,Joined,60,E,Sourcing_portal,M,Y,N,N,Incremental,N,1,Pune
3012,E1,Y,0,11,N,Joined,NA,E,Campus,M,N,N,N,Backfill,Y,0,Pune
3014,E2,N,4,3,N,Joined,60,E,Direct,M,Y,N,N,Incremental,N,3,Pune
3015,E2,N,4,2,N,Joined,34,E,Direct,M,Y,Y,N,Incremental,Y,5,Pune
3018,E1,Y,0,12,N,Offer_Decline,NA,E,Campus,M,N,Y,N,Incremental,N,2,Pune
3019,E1,N,2,10,N,Joined,45,E,Direct,M,Y,Y,N,Backfill,N,2,Pune
3020,E1,Y,0,2,N,Joined,NA,E,Campus,M,N,N,N,Backfill,N,5,Pune
3024,E4,N,7,14,N,Joined,35,E,Direct,M,Y,N,N,Backfill,N,5,Pune
3027,E3,N,6,12,N,Joined,30,P,Direct,M,N,N,N,Incremental,Y,4,Pune
3030,E1,Y,0,15,N,Offer_Decline,NA,C,Campus,M,N,N,N,Backfill,Y,2,Bangalore
3032,E1,Y,0,10,N,Joined,NA,E,Campus,M,N,N,N,Incremental,Y,5,Mumbai
3034,E1,Y,0,15,N,Joined,NA,E,Campus,M,N,N,N,Backfill,Y,2,New Delhi
3035,E1,N,1,59,N,Joined,40,E,Direct,F,Y,Y,N,Incremental,Y,5,Pune
3038,E2,N,2,8,N,Joined,38,E,Direct,M,Y,Y,N,Incremental,Y,3,Pune
3043,E1,Y,0,14,Y,Joined,NA,E,Campus,M,N,Y,N,Incremental,Y,2,Pune
3044,E2,N,3,8,N,Joined,32,E,Direct,M,Y,Y,N,Incremental,Y,3,Pune
3046,E3,N,6,3,N,Offer_Decline,30,C,Direct,F,N,Y,N,Incremental,Y,4,Pune
3050,E4,N,9,11,N,Joined,35,B,Direct,F,N,Y,N,Incremental,Y,2,Bangalore
3052,E5,N,14,13,N,Joined,35,U,Direct,F,N,Y,N,Incremental,Y,5,Mumbai
3054,E5,N,17,8,Y,Offer_Decline,35,E,Direct,M,Y,Y,N,Incremental,N,5,New Delhi
3058,E1,N,1,15,Y,Joined,30,E,Direct,M,Y,N,Y,Incremental,N,4,Pune
3059,E1,Y,0,4,N,Joined,NA,E,Campus,M,N,N,N,Backfill,N,2,Pune
3060,E3,N,3,15,N,Joined,30,C,Coding_Contest,M,N,Y,N,Incremental,N,5,Pune
3072,E1,Y,0,14,N,Joined,NA,E,Campus,M,N,Y,Y,Incremental,N,2,Pune
3077,E3,N,6,8,N,Joined,30,C,Coding_Contest,F,N,Y,Y,Incremental,N,5,Pune
