Sprint,Task_ID,Task_Title,Current_Status,Suggested_Interest,Assignee,Start_Date,Target_Date,Blockers,Daily_Update,Definition_of_Done
Sprint 1 - Foundation Hardening,T030,Connection ID consistency hardening,In Progress,Backend and Data Access,Unassigned,2026-05-27,2026-06-03,None,Investigating ID sync edge cases in shared connections,All user connection mappings stay consistent across stores
Sprint 1 - Foundation Hardening,T031,Deploy SQL parity and error handling,In Progress,Backend and Full Stack,Unassigned,2026-05-27,2026-06-02,None,Need regression checks on model deploy flow,Frontend preview and backend execution are behaviorally aligned
Sprint 1 - Quality Setup,T040,Backend unit and API test suite,Planned,QA Automation and Backend,Unassigned,2026-05-29,2026-06-10,None,Define test folder and first route/service coverage,Pytest runs with meaningful coverage for critical backend flows
Sprint 1 - Quality Setup,T041,Frontend component and state tests,Planned,QA Automation and Frontend,Unassigned,2026-05-29,2026-06-10,None,Select runner and add auth plus explorer test cases,Automated UI tests pass for key interactions
Sprint 1 - Quality Setup,T043,SQL safety and permission test pack,Planned,Security and QA,Unassigned,2026-05-30,2026-06-09,None,Collect unsafe SQL and role boundary scenarios,Unsafe actions are blocked and role checks verified
Sprint 1 - Product Expansion,T050,Data quality rules engine,Planned,Data Testing and Backend,Unassigned,2026-06-03,2026-06-17,Depends on T040 and T041,Design rule model and execution API,Users can define execute and review quality checks
Sprint 1 - Product Expansion,T051,Quality run scheduler and alerts,Planned,Backend and SRE,Unassigned,2026-06-07,2026-06-18,Depends on T050,Draft scheduler payload and alert contracts,Scheduled quality runs and alerts are visible in UI
Sprint 1 - Product Expansion,T052,Semantic model manager,Planned,Analytics Engineering and Full Stack,Unassigned,2026-06-05,2026-06-20,Needs semantic schema design,Semantic entities and measures can be created and versioned
Sprint 1 - Product Expansion,T053,Metrics catalog and versioning,Planned,Analytics Engineering,Unassigned,2026-06-08,2026-06-22,Depends on T052,Define KPI metadata model and change history,Approved metrics are discoverable and version tracked
Sprint 1 - Product Expansion,T054,Report layer SQL generation,Planned,Data Engineering and Reporting,Unassigned,2026-06-12,2026-06-26,Depends on T052 and T053,Prototype mart generation from semantic definitions,Report views generated automatically with predictable SQL
Sprint 1 - Product Expansion,T055,AI report enhancement assistant,Planned,AI Engineering and Reporting,Unassigned,2026-06-15,2026-06-29,Depends on T054 and T019,Design prompt templates and evaluation criteria,Assistant returns useful explainable report improvements
Sprint 1 - Product Expansion,T056,BI tool export connectors,Planned,Integrations and Analytics,Unassigned,2026-06-18,2026-07-01,Depends on T052,Define export formats and connector interfaces,Curated models are consumable in BI tools
Sprint 1 - Operations,T061,Operational monitoring dashboard,Planned,SRE and Backend,Unassigned,2026-06-01,2026-06-12,Needs metrics instrumentation plan,Run health latency and failure trends are visible
Sprint 1 - Operations,T063,CI CD automation with quality gates,Planned,DevOps and QA,Unassigned,2026-06-02,2026-06-13,Depends on T040 and T041,Add lint test and security checks in PR pipeline,PR merge is protected by required quality checks
Sprint 1 - Contribution,T067,Contributor onboarding tracks,In Progress,Documentation and DX,Unassigned,2026-05-27,2026-06-05,None,Draft role-based contributor quickstart docs,New team members can pick a path and deliver first PR quickly
