Phase,Workstream,Task_ID,Task_Title,Description,Current_Status,Priority,Interest_Area,Suggested_Owner,Story_Points,Dependencies,Definition_of_Done,Notes
Phase 0 - Foundation,Platform Setup,T001,Repository and workspace setup,Initialize backend and frontend structure with shared conventions,Done,High,Architecture,Tech Lead,3,None,Team can clone and run both services locally,Baseline completed
Phase 0 - Foundation,Backend Core,T002,FastAPI service bootstrapping,Create API app startup flow middleware and router mounting,Done,High,Backend,Backend Engineer,5,T001,Service starts and health routes respond,Core app is active
Phase 0 - Foundation,Frontend Core,T003,React shell and navigation layout,Build module navigation auth guards and app shell,Done,High,Frontend,Frontend Engineer,5,T001,Users can navigate all available modules,Main shell is in place
Phase 0 - Foundation,DevOps,T004,Environment and deployment templates,Provide env examples local run guide and deployment docs,Done,High,DevOps,DevOps Engineer,3,T001|T002|T003,New contributor can bootstrap environment in under 30 minutes,Docs available in repo
Phase 0 - Foundation,Data Setup,T005,Seed demo data and schemas,Create repeatable seed scripts for demo ecommerce model,Done,Medium,Data Engineering,Data Engineer,3,T002,Seed command builds source schema with realistic sample data,Supports demos and onboarding
Phase 1 - Core Product,Security,T010,Authentication and RBAC,Implement JWT login signup and role checks across modules,Done,High,Security,Backend Engineer,8,T002,Users authenticate and role-restricted routes are enforced,Admin architect developer tester roles are active
Phase 1 - Core Product,Connectivity,T011,Saved connection management,Support PostgreSQL MySQL and Snowflake connection records,Done,High,Backend,Backend Engineer,8,T010,Users can save list and reuse active connections,Connection adapters exist
Phase 1 - Core Product,Metadata,T012,Schema explorer module,List databases schemas objects and definitions,Done,High,Data Engineering,Full Stack Engineer,8,T011,Explorer loads metadata and supports drill-down by object,Main discovery flow complete
Phase 1 - Core Product,Metadata,T013,Object details and sample data,Object column metadata with sample query preview,Done,High,Data Engineering,Full Stack Engineer,5,T012,Object detail pane shows columns and sample rows,Improves analyst self service
Phase 1 - Core Product,Querying,T014,SQL query runner,Execute controlled SQL against active context,Done,High,Backend,Full Stack Engineer,8,T011|T012,Users run SQL and receive tabular results with error handling,Core query experience live
